"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"R-HSA-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","58/4735","77/11287",0.753246753246753,1.79554299976686,5.95455464512504,2.4963565337117e-09,2.80347408095124e-08,2.80347408095124e-08,"POLR2I/POLR2H/POLE4/TCEA1/GTF2H3/RFC1/RFC5/POLR2L/MNAT1/POLR2D/LIG1/CCNH/XRCC1/ERCC1/POLR2A/COPS2/GTF2H2/COPS3/CDK7/GTF2H1/PCNA/DDB1/RPA1/POLR2C/RFC2/PPIE/POLR2G/POLR2E/POLR2B/PRPF19/POLR2F/GPS1/POLD3/COPS7A/ERCC3/COPS7B/GTF2H5/UBC/COPS5/COPS8/RBX1/CUL4A/RFC3/XAB2/ZNF830/POLE3/COPS6/RPS27A/RPA2/POLD4/POLD1/POLR2J/UBA52/RPA3/POLD2/POLR2K/RFC4/UBB",58
"R-HSA-983169","Class I MHC mediated antigen processing & presentation","212/4735","373/11287",0.568364611260054,1.35483239013563,5.9241871266438,2.88158692611109e-09,3.21494698226904e-08,3.21494698226904e-08,"NCF4/UBE2C/UNKL/ITGB5/ANAPC7/PSMA4/S100A1/PSMB7/PSMC1/UBE2J1/UBE2S/FBXW5/UBE2E3/PSMB10/PSMB1/UBA1/PSMD3/SKP2/UBE2G2/CYBA/PSMD8/UBA5/BCAP31/PSME1/FBXW2/HLA-A/PSMD14/UBE3B/CANX/ANAPC11/UBAC1/CTSS/SEC23A/SEC61B/FBXL15/RNF41/LY96/ERAP2/PSMB2/PSMA3/PSMB6/FBXO32/PSMB3/PSMA2/FBXO7/CDC16/RNF144B/HERC4/PSME2/ADRM1/SOCS1/RBBP6/PSMD2/MRC2/FBXW10/S100A8/RBCK1/NEDD4/UBE2N/KLHL42/SEC61G/CDC26/UBE2G1/PSMD13/UBE2E2/NCF2/VAMP8/PSMC3/PSMD1/SOCS3/SEC31A/PSMA5/TLR4/HLA-F/SNAP23/UBA3/UBE2Q2/SIAH1/UBE3A/CALR/RNF19A/UBE3C/PJA2/S100A9/IKBKG/UBE2D4/BTK/RNF115/ANAPC5/CDC20/BTBD1/PSMD6/SKP1/SH3RF1/WSB1/ARIH2/FBXW9/FBXO44/THOP1/TRAF7/TLR1/KLHL5/PSMC4/RNF7/RNF213/HMGB1/HLA-C/LRR1/FCGR1A/PSMD12/RNF4/STX4/FBXO9/MYLIP/RNF220/CD36/MRC1/CUL1/VAMP3/UBE2L6/FBXO17/RNF130/TRIM69/ASB1/CDC34/PSMB5/UBE2D2/TRIP12/FGG/CYBB/HLA-B/UBE2Z/SIAH2/LMO7/UBC/SAR1B/FBXL12/RNF126/PSMA7/TAPBP/ATG7/PDIA3/BECN1/CUL2/ANAPC1/SEC13/UBE2H/HECTD1/UBE2A/HLA-E/CD14/TRIM37/RBX1/UBE2L3/VHL/PSMB8/CTSL/UBE2D1/TLR2/ANAPC13/UBE2K/TRIM11/SEC22B/SEC24D/MYD88/FBXO22/UBE2D3/UBE2V2/STUB1/NCF1/HSPA5/B2M/RPS27A/LRRC41/KEAP1/UFL1/NPEPPS/MKRN1/BLMH/UBE2E1/PSMC6/PSMD7/CDC27/CBLB/SPSB1/DTX3L/UBE2J2/RNF25/TAP1/SEC61A1/UBR4/PSMA6/HECTD2/UBE2B/ASB6/PSMB4/UBA52/PSMB9/NEDD4L/PSMC2/PSMC5/PSMD11/FBXL5/HERC2/ZNRF1/ITGAV/RNF114/SEC24C/UBE2R2/UBB/CHUK/WWP1",212
"R-HSA-8878159","Transcriptional regulation by RUNX3","63/4735","86/11287",0.732558139534884,1.74622676260406,5.90520145032963,3.50814122912702e-09,3.8488523832311e-08,3.8488523832311e-08,"WWTR1/RUNX1/TEAD4/RBPJ/HES1/PSMA4/TEAD1/PSMB7/PSMC1/TGFB1/PSMB1/PSMD3/PSMD8/PSMD14/TEAD2/ZFHX3/SPP1/CTNNB1/CDKN2A/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/RUNX3/PSMD2/PSMD13/KAT2A/PSMC3/PSMD1/PSMA5/CDKN1A/NOTCH1/MYC/PSMD6/PSMC4/SMAD3/PSMD12/YAP1/TCF7L2/PSMB5/TCF7L1/TP53/ITGA4/UBC/PSMA7/FOXO3/KRAS/BRD2/RPS27A/CCND1/PSMC6/PSMD7/TEAD3/JAG1/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/UBB",63
"R-HSA-69601","Ubiquitin-Mediated Degradation of Phosphorylated Cdc25A","42/4735","51/11287",0.823529411764706,1.96307845207777,5.85981572816063,3.53995210408484e-09,3.8488523832311e-08,3.8488523832311e-08,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/PSMD6/SKP1/PSMC4/PSMD12/CUL1/PSMB5/CSNK1A1/UBC/PSMA7/RBX1/CHEK1/PLK3/RPS27A/PSMC6/PSMD7/GSK3B/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/CSNK1E/UBB",42
"R-HSA-69613","p53-Independent G1/S DNA Damage Checkpoint","42/4735","51/11287",0.823529411764706,1.96307845207777,5.85981572816063,3.53995210408484e-09,3.8488523832311e-08,3.8488523832311e-08,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/PSMD6/SKP1/PSMC4/PSMD12/CUL1/PSMB5/CSNK1A1/UBC/PSMA7/RBX1/CHEK1/PLK3/RPS27A/PSMC6/PSMD7/GSK3B/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/CSNK1E/UBB",42
"R-HSA-9754678","SARS-CoV-2 modulates host translation machinery","42/4735","51/11287",0.823529411764706,1.96307845207777,5.85981572816063,3.53995210408484e-09,3.8488523832311e-08,3.8488523832311e-08,"RPS12/RPS29/GEMIN7/GEMIN8/RPS23/RPS28/SNRPF/RPS20/SNRPB/SNRPE/RPS6/RPS3/RPS15A/RPS13/RPS19/RPS18/RPS5/RPS27/SNRPD3/RPS3A/RPS8/SNRPD2/RPS24/RPS11/GEMIN6/RPS4X/RPS2/RPS7/RPS16/RPS17/SNRPG/RPS10/RPS27A/RPSA/RPS25/RPS26/RPS14/SNRPD1/RPS21/RPS15/RPS27L/FAU",42
"R-HSA-1169410","Antimicrobial mechanism of IFN-stimulated genes","103/4735","159/11287",0.647798742138365,1.54418255596953,5.87459173688867,4.37036086652408e-09,4.72164936655482e-08,4.72164936655482e-08,"EIF4A1/STAT3/PIN1/NDC1/ILF2/SPHK1/DHX9/JAK1/EIF4G2/GBP2/UBE2I/NUP54/ILF3/PPP2CA/TUBB4B/EIF2AK2/EIF4A3/TUBA1B/HSPA8/RAE1/NEDD4/UBE2N/ISG15/NUP50/TUBB6/NCK1/KPNA4/NUP205/EIF4G1/ACTG1/EIF4E2/SUMO1/IKBKG/TUBA4A/OAS1/NPM1/CASP1/NUP214/OAS2/PPP2R5A/EIF2S1/SNCA/STAT1/EIF4A2/FNTA/PRKRA/CDK1/TUBB2A/HSPA1B/EIF2S3/SEH1L/TPR/UBE2L6/KPNB1/TP53/NUP107/FANCG/NUP37/UBC/FLNB/ACTB/TUBA1A/MAPT/KPNA2/MAPK3/BECN1/KPNA1/HSPA1A/SEC13/EIF2S2/FAAP20/ABCE1/NUP88/KPNA3/FANCF/NUP133/POM121/GBP4/RPS27A/TUBA1C/GBP1/NUP62/TUBB3/DNAJC3/GBP5/UBE2E1/RANBP2/ARIH1/NUP85/TARBP2/MAVS/UBA52/EIF4E/AAAS/PPP2CB/PTPN2/NUP93/FLNA/SFN/UBB/CHUK/FANCL/PPP2R1A",103
"R-HSA-9705683","SARS-CoV-2-host interactions","125/4735","201/11287",0.621890547263682,1.48242420421651,5.86654965553688,4.47667486641455e-09,4.80609056413185e-08,4.80609056413185e-08,"RPS12/RPS29/GEMIN7/GEMIN8/RPS23/YWHAQ/RPS28/NDC1/LARP1/SNRPF/G3BP2/RPS20/SNRPB/SNRPE/TKFC/HSP90AA1/IFNAR2/HLA-A/YWHAH/RPS6/JAK1/IL17RA/SEC23A/RPS3/RPS15A/RPS13/IL17RC/PTPN6/GJA1/NUP54/CRB3/UVRAG/YWHAZ/HSP90AB1/RIPK2/RAE1/RPS19/RPS18/UBE2N/IFNAR1/RPS5/TUFM/ISG15/NUP50/NUP205/RPS27/HLA-F/AKT2/SNRPD3/IKBKG/RNF135/RPS3A/G3BP1/NUP214/STAT2/TLR1/IFIH1/PTPN11/STAT1/HLA-C/RPS8/IRF7/YWHAE/SIKE1/SEH1L/SNRPD2/TPR/YWHAG/CNBP/MAP1LC3B/RPS24/HLA-B/RPS11/GEMIN6/RPS4X/NUP107/RPS2/TJP1/IRAK1/NUP37/UBC/SAR1B/AKT1/RPS7/KPNA2/RPS16/BECN1/SEC13/HLA-E/RPS17/NUP88/SNRPG/PDPK1/TLR2/RPS10/NUP133/YWHAB/SEC24D/POM121/B2M/RPS27A/NUP62/RANBP2/NUP85/RPSA/RPS25/MAVS/UBA52/MAP3K7/AAAS/NLRP3/RPS26/RPS14/CAV1/VPS45/SNRPD1/NUP93/RPS21/RPS15/SEC24C/RPS27L/SFN/UBB/CHUK/FAU",125
"R-HSA-4641257","Degradation of AXIN","36/4735","42/11287",0.857142857142857,2.04320410318298,5.75780923780774,5.59653864527813e-09,5.90223960226754e-08,5.90223960226754e-08,"PSMA4/PSMB7/PSMC1/PSMB1/PSMD3/PSMD8/PSMD14/PSMB2/PSMA3/PSMB6/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/PSMD6/TNKS2/PSMC4/PSMD12/RNF146/PSMB5/UBC/PSMA7/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/UBB",36
"R-HSA-69563","p53-Dependent G1 DNA Damage Response","43/4735","53/11287",0.811320754716981,1.93397621087446,5.79361470577057,5.60142246963879e-09,5.90223960226754e-08,5.90223960226754e-08,"PSMA4/PSMB7/PSMC1/CDK2/PSMB1/PSMD3/PSMD8/PSMD14/ZNF385A/CDKN2A/PSMB2/PSMA3/PSMB6/PCBP4/PSMB3/PSMA2/ADRM1/PSMD2/PSMD13/PSMC3/PSMD1/PSMA5/CDKN1A/PSMD6/PSMC4/PSMD12/PSMB5/CDKN1B/TP53/UBC/PSMA7/RPS27A/PSMC6/PSMD7/PSMA6/PSMB4/UBA52/PSMC2/PSMC5/PSMD11/CCNA2/PHF20/UBB",43
