"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006402","mRNA catabolic process","25/599","381/18842",0.0656167979002625,2.06402622042862,3.80193304086913,0.000540098494721281,0.00735657647675732,0.00341051224626338,"BCLAF1/HSPA1A/HNRNPC/FXR1/SMG1/FUS/PNRC2/RBM8A/ARID5A/CNOT6L/NPM1/CNOT2/ZFP36/DDX5/MAGOH/TNRC6B/ROCK1/TAF15/HSPA1B/PABPC1/ZC3HAV1/ZFP36L2/THRAP3/LSM6/DHX36",25
"GO:0002286","T cell activation involved in immune response","12/599","123/18842",0.0975609756097561,3.0688545950568,4.17117546006951,0.000553991662020089,0.00749550718713181,0.0034749205876449,"STAT4/RORA/PSMA5/PSMB8/JAK1/CD69/PSMB10/PSMB9/BATF/ANXA1/JUNB/LCP1",12
"GO:0008360","regulation of cell shape","12/599","123/18842",0.0975609756097561,3.0688545950568,4.17117546006951,0.000553991662020089,0.00749550718713181,0.0034749205876449,"ITGB2/ARHGAP15/FYN/CDC42SE2/RAC2/MSN/PHIP/RHOG/EZR/ANXA1/CDC42SE1/WDR1",12
"GO:0051017","actin filament bundle assembly","14/599","159/18842",0.0880503144654088,2.7696895244695,4.06059422190104,0.000565942163536234,0.00763175827838396,0.00353808665636591,"PFN1/CDC42/PTGER4/WAS/CD47/RGCC/EVL/CORO1B/PIK3R1/LIMD2/ROCK1/PAK2/EZR/LCP1",14
"GO:0035771","interleukin-4-mediated signaling pathway","4/599","13/18842",0.307692307692308,9.67869526133299,5.67191539942975,0.000575012738493062,0.00765238264112571,0.00354764812044154,"JAK1/PTPRC/PTPN2/IL2RG",4
"GO:0043506","regulation of JUN kinase activity","4/599","13/18842",0.307692307692308,9.67869526133299,5.67191539942975,0.000575012738493062,0.00765238264112571,0.00354764812044154,"TAOK3/PDCD4/PTPN22/DNAJA1",4
"GO:0043922","host-mediated suppression of viral transcription","4/599","13/18842",0.307692307692308,9.67869526133299,5.67191539942975,0.000575012738493062,0.00765238264112571,0.00354764812044154,"CCL4/REST/HDAC1/CCL5",4
"GO:0090084","negative regulation of inclusion body assembly","4/599","13/18842",0.307692307692308,9.67869526133299,5.67191539942975,0.000575012738493062,0.00765238264112571,0.00354764812044154,"HSPA1A/HSPA1B/DNAJB6/DNAJB1",4
"GO:0007004","telomere maintenance via telomerase","8/599","60/18842",0.133333333333333,4.19410127991096,4.49025129524599,0.000593531783670342,0.00787219553766683,0.00364955348061943,"PTGES3/HNRNPC/TERF2IP/RFC1/HNRNPA1/CCT4/HSP90AB1/HSP90AA1",8
"GO:0141188","nucleic acid catabolic process","30/599","495/18842",0.0606060606060606,1.9064096726868,3.70306945109798,0.000595408728766622,0.00787219553766683,0.00364955348061943,"BCLAF1/HSPA1A/HNRNPC/BAX/FXR1/SMG1/FUS/PNRC2/RBM8A/ARID5A/CNOT6L/NPM1/PPP2CA/CNOT2/ZFP36/DDX5/MAGOH/TNRC6B/ROCK1/TAF15/HSPA1B/PABPC1/ISG20/ZC3HAV1/RNF10/GRSF1/ZFP36L2/THRAP3/LSM6/DHX36",30
"GO:0050864","regulation of B cell activation","11/599","107/18842",0.102803738317757,3.23376967843602,4.19875649347449,0.000599412586825473,0.00789940159066427,0.00366216621933198,"TGFB1/GPR183/SH3KBP1/CD27/SAMSN1/ID2/TNFRSF14/LAPTM5/PTPRC/TNFAIP3/ZFP36L2",11
