"state","chisq","df","p_value","p_adj"
"Basal-like",6.0702731092437,2,0.0480680985063933,0.0480680985063933
"Cycling/Proliferative",10.7403926482874,2,0.00465321768162577,0.0223180125382069
"EMT/Mesenchymal",9.07247899159664,2,0.0107136195068147,0.0223180125382069
"Luminal Progenitor-like",6.69432773109243,2,0.0351839992830738,0.0439799991038423
"Mature Luminal-like",8.62637362637363,2,0.0133908075229242,0.0223180125382069
