"Model","HR","CI_low","CI_high","P_value"
"Unadjusted",1.25837578753734,1.15408599134961,1.37208980485798,1.92294431926642e-07
"Adjusted for age + subtype",1.36409209386296,1.19434568469114,1.55796371552231,4.66508544044563e-06
