"name","contribution","contribution.scaled","group","contribution.relative.1","pvalues"
"CSF",0.0373164986362791,0.3041066814931,"TNBC",0,0
"CDH1",0.0357295719163372,0.300140172535825,"TNBC",0,0
"LCK",0.0353544431744888,0.299192371755819,"TNBC",0,0
"TWEAK",0.0350248962934695,0.298356401038482,"HER2",Inf,0
"CD46",0.0306178537645342,0.286847580854814,"TNBC",8,2.91783255092742e-12
"SEMA7",0.029332846814675,0.283362591626316,"HER2",20,0.00262451171875
"CD70",0.0287193011304276,0.28167539303584,"TNBC",0.09,0
"Testosterone",0.0279787273500171,0.27961775620375,"HER2",0.08,3.17632142809998e-10
"VCAM",0.0269735249467522,0.276786003431788,"TNBC",0.1,0.0006103515625
"SELPLG",0.0265715206296027,0.275640394035202,"TNBC",4,0.00987714156508446
"ADGRA",0.0239621204986916,0.268004472953469,"TNBC",0,0
"CDH",0.0235622993790782,0.266801324623039,"TNBC",9,0.00468368575064563
"CDH5",0.0235317819632048,0.266709102035871,"HER2",2,0
"IGF",0.020614037590471,0.257613576107122,"TNBC",0.2,0.00710105895996094
"BAFF",0.0185757250034944,0.250884388921797,"TNBC",0,0
"HGF",0.0173329472295743,0.246600238139376,"TNBC",0,0
"BAG",0.0162073758597295,0.24258368074671,"TNBC",0,0
"TRAIL",0.0154049803172077,0.239632054108623,"TNBC",0,0
"PTPR",0.0140044539354454,0.234280929157502,"TNBC",0,0
"CD39",0.0135783025546836,0.232596969130244,"TNBC",0.09,0.00836181640625
"OCLN",0.0130502450954033,0.230470592428876,"HER2",Inf,0
"CDH5",0.0123647397774337,0.227639722688121,"TNBC",2,0
"EPHA",0.00978806511270318,0.216141840938351,"TNBC",0.009,0.0078125
"FGF",0.00912050713349745,0.212891433406501,"HER2",0.09,1.49011611938476e-06
"EDN",0.00879422742923567,0.211253037504122,"TNBC",9,0.00250792503356934
"Netrin",0.00750887698105767,0.204429188939134,"HER2",Inf,0
"SEMA4",0.00739687688452069,0.203803070852143,"TNBC",10,9.53955602455483e-07
"FASLG",0.00560482949856303,0.192896522205379,"TNBC",0,0
"PECAM2",0.0051436881804199,0.189753863948118,"HER2",0.1,0.0155029296875
"Adenosine",0.00445386509624768,0.184706896976969,"TNBC",0,0
"IGF",0.00389884272186782,0.180275173572491,"HER2",0.2,0.00710105895996094
"RA",0.00369274865177686,0.178527300252532,"TNBC",10,0.02154541015625
"IL10",0.00346402411857491,0.176512401146937,"TNBC",0,0
"CysLTs",0.00325467110229288,0.174591245379309,"HER2",Inf,0
"VCAM",0.00304893258863054,0.172623211233182,"HER2",0.1,0.0006103515625
"APRIL",0.00304108920551872,0.172546489194212,"TNBC",0,0
"CD70",0.00266957099633139,0.168752518246055,"HER2",0.09,0
"CSPG4",0.00248177134179846,0.166700486777081,"TNBC",0,0
"PTPRM",0.0024494561965212,0.166337063131848,"TNBC",0.8,0
"SN",0.00193392569326848,0.160046008644875,"HER2",Inf,0
"PTPRM",0.00191527017544232,0.159798102575461,"HER2",0.8,0
"SEMA7",0.00183470692560363,0.158708228684109,"TNBC",20,0.00262451171875
"CEACAM",0.00160975290273849,0.155480502980565,"TNBC",100,1.26361846923828e-05
"BMP",0.00126730674296208,0.149905679979666,"HER2",Inf,0
"CD39",0.00124427441534788,0.149494647146455,"HER2",0.09,0.00836181640625
"FLT3",0.00110742277792343,0.14693522971817,"TNBC",0.1,0
"PVR",0.000974006335870042,0.144214973198155,"TNBC",0,0
"ncWNT",0.000889441925557288,0.14235044964769,"TNBC",0,0
"CADM",0.000637924401521817,0.135919597395657,"TNBC",0.8,0
"SLIT",0.000538352267387502,0.13285510032047,"TNBC",0,0
"CADM",0.000491286838012148,0.131259737343872,"HER2",0.8,0
"SEMA5",0.000444347582807528,0.129552080225987,"TNBC",0,0
"NEGR",0.000414189571150553,0.12838310689765,"HER2",Inf,0
"FLT3",0.000126320120517619,0.111399620855604,"HER2",0.1,0
"PCDH",0.000108450651919936,0.109538439625112,"TNBC",0,0
"EPHA",9.0669982871479e-05,0.107431184733223,"HER2",0.009,0.0078125
"L1CAM",8.71706878350978e-05,0.106978845976286,"TNBC",0,0
