"orig.ident","seurat_clusters","malignant_state","Basal_score","LumProg_score","MatureLum_score","EMT_score","Cycling_score"
"CID3586","26","Basal-like",1.29963880981971,0.477663624343063,-0.340884731521037,0.208118091402415,-0.142464959931943
"CID3921","22","Luminal Progenitor-like",-0.0895684557580595,0.323808785002524,-0.269763157070132,-0.11093527442353,-0.121751824911406
"CID3921","24","Cycling/Proliferative",-0.0707902921838205,0.216602373813058,-0.498651863163371,0.112087915549706,0.480357342330096
"CID3921","22","Cycling/Proliferative",-0.0242301474533312,0.277606940076604,-0.548807323973459,-0.0109731429705407,0.770650704468386
"CID3921","22","Luminal Progenitor-like",-0.0252057984261027,0.308572822090448,-0.266405694988441,0.0349820492849958,-0.135445120631311
"CID3921","22","Luminal Progenitor-like",-0.0947700032708878,0.215702166846619,-0.372958495282167,-0.201784842316274,-0.00402770868854974
"CID3921","22","Luminal Progenitor-like",-0.108190984039098,0.412565951907622,-0.368695643471372,-0.0469056551675677,-0.159191935104569
"CID3921","22","Luminal Progenitor-like",-0.073336994548478,0.153062282481364,-0.0471544147177421,0.0214186845844458,0.00360531723709079
"CID3921","22","Cycling/Proliferative",-0.0372132050164149,0.303505829865143,-0.643252055148543,0.071371201994765,0.722353887539888
"CID3921","22","Luminal Progenitor-like",-0.0845380565909139,0.492327107404817,-0.486343258903358,0.205786403840891,0.191298076370712
"CID3921","22","Cycling/Proliferative",-0.115383254567572,0.126922764573411,-0.495119537192374,-0.238442997678871,0.409286788676741
"CID3921","22","Luminal Progenitor-like",-0.0626458441722494,0.192229904167372,-0.582792857695135,-0.0203939986447458,-0.0572820974361976
"CID3921","22","Luminal Progenitor-like",-0.0258220563720939,0.827574980198638,-0.0755653720936795,0.451198874189576,0.157115977316327
"CID3921","22","Luminal Progenitor-like",0.0864793978666655,0.358312728883154,0.000415113375958454,0.107099862708912,-0.213814739985247
"CID3921","22","Luminal Progenitor-like",-0.0493079950721425,0.0966835643780898,-0.224727510709839,-0.192794505599236,-0.0262724866257315
"CID3921","22","Cycling/Proliferative",-0.107818510182277,0.270935039079999,-0.394002655004094,-0.174183880394337,1.04614646707329
"CID3921","22","Luminal Progenitor-like",0.129135202647419,0.559838669358429,-0.509887714755782,0.178466841139538,-0.193999209013787
"CID3921","22","Luminal Progenitor-like",0.0583059212040641,0.206485162359107,-0.359150378047997,0.19480640070027,-0.177472104850875
"CID3921","22","Luminal Progenitor-like",-0.0979099646232106,0.164408955420506,-0.0550705263133742,-0.211665446739343,-0.0818037247239135
"CID3921","22","Luminal Progenitor-like",-0.105588642025868,0.387858948481317,-0.307415183929184,-0.181375300254141,-0.155304085472442
"CID3921","22","Luminal Progenitor-like",-0.0980456682602725,0.337380177951365,-0.354767561207201,-0.201971508819249,-0.211274445821944
"CID3921","22","Luminal Progenitor-like",0.0627431007356875,0.651143089152676,-0.480407352834672,0.114981288616911,-0.164813498825144
"CID3921","22","EMT/Mesenchymal",0.00770359437622845,0.219467439346397,-0.276756921227538,0.43673253952482,-0.20530875843553
"CID3921","22","Luminal Progenitor-like",-0.104438727662239,0.163583613791246,-0.191941342191741,-0.0150130742510197,-0.189367549245342
"CID3921","22","Luminal Progenitor-like",-0.0169872866345421,0.584131868446518,-0.347701757983705,0.103779062228098,-0.22179692296835
"CID3921","22","Luminal Progenitor-like",-0.0869849930066915,0.199603370349607,-0.497245792432666,-0.127641966334153,-0.115830414085278
"CID3921","22","Luminal Progenitor-like",-0.125762463246629,0.72766658392825,-0.524022133956955,-0.200962655007662,-0.190633750448703
"CID3921","22","Luminal Progenitor-like",-0.0963535582635764,0.80611227804762,-0.583905662470263,0.316681802527942,-0.19834074905032
"CID3921","22","Luminal Progenitor-like",-0.0847880233441278,0.304948967054279,-0.302326855397591,0.153795309547479,-0.118961076368665
"CID3921","22","Luminal Progenitor-like",-0.0981813962447293,0.564172483583151,-0.513733346254837,0.117457438035565,-0.221435209952869
"CID3921","22","EMT/Mesenchymal",-0.0741472073008875,0.141325688650383,-0.304771092126209,0.561540300540146,-0.131018824442844
"CID3921","22","Luminal Progenitor-like",-0.099842730845947,0.383912239372743,0.168660242976849,0.00684078909743566,-0.145773420076132
"CID3921","22","Luminal Progenitor-like",0.00442391505751979,0.657637424396591,-0.344250008859894,0.0559043649020357,-0.125950225646918
"CID3921","22","Luminal Progenitor-like",-0.078539362632922,0.227400654536185,-0.312678285303858,-0.110466051371681,-0.135448067889323
"CID3921","22","Luminal Progenitor-like",-0.094003113907405,0.578013364636974,-0.515436583829348,0.291172252222651,-0.111667503085385
"CID3921","22","Luminal Progenitor-like",-0.0260059050273604,0.604674141573365,-0.64315266115442,-0.0696644558235718,-0.186735948693926
"CID3921","22","Luminal Progenitor-like",-0.0604498737838567,-0.0292151418350595,-0.499476892200163,-0.0584494335505303,-0.212836547266618
"CID3921","22","Luminal Progenitor-like",-0.139165383710618,0.376818913871573,-0.660223203806546,-0.161009649525413,-0.17071246047718
"CID3921","24","EMT/Mesenchymal",-0.0525950629638388,0.123836079860926,-0.0568320187353589,0.249287582186654,-0.0658767457839978
"CID3921","22","Luminal Progenitor-like",-0.0332060245008391,0.54892607653427,-0.402373977996618,0.0830720659487685,-0.150353905476725
"CID3921","22","Luminal Progenitor-like",-0.0947066407229957,0.835865596029774,-0.366641283590884,0.0442228944973796,-0.190477265661853
"CID3921","22","Luminal Progenitor-like",-0.109864874650238,0.233038025107812,-0.355487059418102,-0.13677197358667,-0.179100982643561
"CID3921","22","Luminal Progenitor-like",-0.0685175313502253,0.612802394860606,-0.0846502424760375,0.147847070350968,-0.192045090106536
"CID3921","22","Luminal Progenitor-like",-0.0866859491557687,0.263508329757853,-0.352384425320004,-0.122948314925627,-0.173865453848039
"CID3921","22","Luminal Progenitor-like",-0.113550875184235,0.608286570380028,-0.307859460707378,0.063628461144341,-0.1994422918678
"CID3921","22","Luminal Progenitor-like",-0.0312758751764512,0.300273779688499,0.0801221156769095,-0.198725512342593,-0.116236607711631
"CID3921","22","Luminal Progenitor-like",-0.0548856358890029,0.647883363158414,-0.386922082928732,0.305834353779142,-0.203992613234163
"CID3921","22","Luminal Progenitor-like",-0.101569052724241,0.586946292127267,-0.248052019244874,-0.133027389496132,-0.139888977598881
"CID3921","22","EMT/Mesenchymal",-0.0378244043232275,0.214110128864967,-0.34949580189345,0.254144934262652,-0.0845788313880878
"CID3921","22","Luminal Progenitor-like",-0.0301936344046176,0.696292544826854,-0.368452498258637,0.176520600751029,-0.245911980232204
"CID3921","22","Luminal Progenitor-like",-0.0281419022866283,0.564551786482806,-0.441777903053374,0.0759591296149699,-0.234321343730798
"CID3921","22","Luminal Progenitor-like",-0.0872687810525675,0.467958252213192,-0.456161746942339,-0.196455449039874,-0.180388438069052
"CID3921","22","Luminal Progenitor-like",0.614892635811509,0.637659145057477,-0.406055141825791,-0.0392035903117856,-0.174715175450084
"CID3921","22","Luminal Progenitor-like",-0.109629085653923,0.499318688821154,-0.378179750527561,-0.152342056312641,-0.229314865742632
"CID3921","22","Luminal Progenitor-like",-0.103158288777868,0.615934016058412,-0.68755976583845,0.20710452726765,-0.184855514123855
"CID3921","22","Luminal Progenitor-like",0.119853941078826,0.55603382579541,0.158184941865814,-0.159511375378077,-0.137229499019982
"CID3921","22","Luminal Progenitor-like",-0.0506085493869573,0.3003318792802,-0.459956000096738,-0.138491644698319,-0.17763752299348
"CID3921","22","Luminal Progenitor-like",-0.0345895166335066,0.416077940271321,-0.74002606286704,0.204059794402819,-0.175623594476192
"CID3921","22","Luminal Progenitor-like",-0.0897312151408531,0.716642193085447,-0.336965438881008,-0.0840302668904287,-0.169113067746798
"CID3921","22","Luminal Progenitor-like",-0.084929242588193,0.432132057750154,-0.586408244358627,0.1661586893166,-0.200545225998145
"CID3921","22","Luminal Progenitor-like",-0.0498960552809533,0.377187944725478,0.172623101322435,-0.026461069766661,-0.0866605034916447
"CID3921","22","Luminal Progenitor-like",-0.0428851414319383,0.720917107385015,-0.390858354427598,0.21232807653278,-0.161216409704643
"CID3921","22","Luminal Progenitor-like",-0.12477311876452,0.814026651401043,-0.361707576337099,-0.00536789448456138,-0.212857117103608
"CID3921","22","Luminal Progenitor-like",-0.0929751708638235,0.346344400012131,-0.316552671744543,-0.235761115293197,-0.201086393872814
"CID3921","22","Luminal Progenitor-like",-0.10967550858348,0.373138441613178,-0.258475501616506,-0.0551945399911881,-0.236848609438521
"CID3921","22","Luminal Progenitor-like",-0.105418037906652,0.663966196836414,-0.516367232774308,0.245646527234614,-0.242154634603899
"CID3921","22","Luminal Progenitor-like",-0.0908819497704499,0.575853697772035,-0.564859829962803,0.347246974185967,-0.185112859882537
"CID3921","22","Luminal Progenitor-like",-0.0979186052904358,0.49907011391998,-0.266306027323895,0.010993657690005,-0.222032785875661
"CID3921","22","Luminal Progenitor-like",-0.110975937957073,0.436365868003464,-0.14784000925077,0.231381871675144,-0.143236287431083
"CID3921","22","EMT/Mesenchymal",-0.095070491108883,0.222514540076058,-0.532333958651011,0.231095469294583,-0.168244788453355
"CID3921","22","Luminal Progenitor-like",0.0595413892964207,0.617833229324588,-0.515260791130725,0.155042170330066,-0.188911577787083
"CID3921","22","Luminal Progenitor-like",-0.073281894084978,0.964940672579286,-0.273562051229762,0.112272331410716,-0.135244067341208
"CID3921","22","Luminal Progenitor-like",0.0541788333969444,0.635196087629151,-0.591587248685151,0.20742537073435,-0.212460779924211
"CID3921","22","Luminal Progenitor-like",0.0919575452717442,0.669334400590025,-0.306775304106172,0.383586893143694,-0.183662071302812
"CID3921","22","Luminal Progenitor-like",0.21108638997048,0.310554326371166,-0.489235887929417,-0.126697623035283,-0.163761808582854
"CID3921","22","Luminal Progenitor-like",-0.110100729537828,0.369238122274744,-0.382138559793636,-0.0138753143268303,-0.185808307398964
"CID3921","22","Luminal Progenitor-like",-0.0645692060513296,0.550423168089887,-0.722830701342499,0.0581309764995485,-0.139050051052077
"CID3921","22","Basal-like",0.291508654819546,0.0631846974779546,-0.298925483700879,0.20477528995622,-0.230846774953155
"CID3921","22","Luminal Progenitor-like",-0.0862352508190144,0.441525543522503,-0.109849785290577,0.00502641277036958,-0.13761894501284
